"cat","Kategorien"
"price","Preis"
"Color","Farbe"
"vendor","Hersteller"
"Manufacturer","Hersteller"
"Gender","Geschlecht"
"Please copy the following URLs to your <a target='_blank' href='https://secure.findologic.com/login/index.php'>Findologic Account</a>:<br/><strong>CSV URL:</strong> http://SITE_URL/export/findologic_STORE_CODE.csv<br/><strong>Export URL:</strong> http://SITE_URL/index.php/findologic/csv/create/part/1/limit/1000/store_code/STORE_CODE/<br/>The number behind .../limit/ can be changed by your own. 100 should be the minimum number and as higher the used number is as higher should be your server power.<br/><br/>","Bitte tragen Sie folgende URLs in Ihrem <a target='_blank' href='https://secure.findologic.com/login/index.php'>Findologic Account</a>:<br/><strong>CSV URL:</strong> http://SITE_URL/export/findologic_STORE_CODE.csv<br/><strong>Export URL:</strong> http://SITE_URL/index.php/findologic/csv/create/part/1/limit/1000/store_code/STORE_CODE/<br/>Die Zahl hinter .../limit/ kann beliebig geändert werden. Umso größer die Zahl, desto höher sind die Anforderungen an den Server. Es sollte allerdings ein Minimum von 100 gewählt werden.<br/><br/>"
"Relevance","Beste Treffer"
"Name_Findo","A-Z"
"Price_Findo","Günstigste zuerst"
"Date Added","Topseller zuerst"
"Sales Frequency","Neuheiten zuerst"
